uid,lapse_date,subscription_date,price
10000138,2018-02-13,2018-02-28,499
10000139,2016-02-27,2016-02-28,99
10000140,2016-05-28,2016-06-06,499
10000141,2016-03-25,,0
10000142,2017-06-18,,0
10000143,2016-07-01,2016-07-27,499
10000144,2018-02-06,2018-02-20,299
10000145,2017-05-24,,0
10000146,2016-07-11,2016-07-12,499
10000147,2017-11-23,2017-12-22,499
10000148,2016-09-03,2016-09-25,99
10000149,2017-03-26,2017-03-28,99
10000150,2017-01-13,2017-01-25,499
10000151,2017-01-05,,0
10000152,2017-08-07,,0
10000153,2017-01-17,2017-02-10,199
10000154,2017-12-04,2017-12-08,99
10000155,2017-09-08,,0
10000156,2017-02-09,,0
10000157,2017-07-21,2017-07-23,99
10000158,2016-11-29,2016-12-06,499
10000159,2016-09-29,2016-10-15,299
10000160,2017-02-12,,0
10000161,2017-12-16,,0
10000162,2017-02-23,2017-02-26,199
10000163,2016-11-13,,0
10000164,2016-07-08,,0
10000165,2017-01-19,2017-02-12,199
10000166,2018-01-30,2018-02-05,199
10000167,2017-04-30,,0
10000168,2017-10-19,,0
10000169,2016-09-28,,0
10000170,2016-08-30,2016-08-30,199
10000171,2017-01-28,,0
10000172,2017-09-20,2017-09-23,199
10000173,2016-06-12,2016-06-22,299
10000174,2017-06-23,2017-07-23,499
10000175,2016-11-03,2016-11-17,499
10000176,2016-10-22,2016-11-13,299
10000177,2017-09-27,2017-10-15,499
10000178,2017-09-25,,0
10000179,2017-11-18,,0
10000180,2017-01-25,,0
10000181,2017-11-25,,0
10000182,2017-11-28,2017-12-28,499
10000183,2016-06-15,2016-07-08,499
10000184,2018-03-06,2018-03-19,299
10000185,2017-04-03,2017-04-10,199
10000186,2016-02-29,,0
10000187,2017-09-17,2017-09-25,499
10000188,2016-12-26,2017-01-18,299
10000189,2016-03-05,2016-03-28,99
10000190,2017-06-18,2017-06-21,499
10000191,2016-05-14,2016-06-01,499
10000192,2017-06-08,2017-06-08,199
10000193,2017-02-05,,0
10000194,2017-02-22,,0
10000195,2018-02-14,,0
10000196,2016-09-24,2016-10-24,199
10000197,2018-02-04,2018-02-04,499
10000198,2016-04-30,,0
10000199,2016-12-29,,0
10000200,2017-02-11,2017-02-20,299
10000201,2016-09-27,,0
10000202,2018-01-30,2018-02-24,499
10000203,2016-07-31,2016-08-17,99
10000204,2016-10-14,,0
10000205,2018-02-13,2018-02-24,499
10000206,2016-08-07,,0
10000207,2017-03-21,2017-04-17,99
10000208,2016-10-12,2016-10-30,99
10000209,2016-03-16,2016-04-08,499
10000210,2017-09-20,2017-10-15,99
10000211,2016-08-19,2016-09-14,499
10000212,2017-01-24,2017-01-28,499
10000213,2017-01-08,2017-01-14,299
10000214,2016-08-30,,0
10000215,2017-10-23,,0
10000216,2016-11-24,2016-12-15,199
10000217,2016-07-04,,0
10000218,2017-12-29,2018-01-15,299
10000219,2016-08-15,,0
10000220,2017-05-27,2017-06-24,99
10000221,2018-01-13,2018-01-19,299
10000222,2017-02-13,,0
10000223,2018-02-17,2018-02-21,499
10000224,2018-01-06,2018-01-10,299
10000225,2017-02-01,2017-02-05,99
10000226,2017-07-21,2017-07-31,499
10000227,2018-03-12,,0
10000228,2016-04-11,,0
10000229,2016-02-28,,0
10000230,2017-02-27,,0
10000231,2017-07-07,,0
10000232,2017-01-14,2017-01-20,199
10000233,2016-05-28,2016-06-26,99
10000234,2017-02-14,2017-02-24,499
10000235,2016-08-26,2016-08-30,299
10000236,2017-03-29,,0
10000237,2016-05-03,2016-05-03,99
10000238,2016-06-20,2016-06-30,499
10000239,2017-01-20,2017-01-31,199
10000240,2017-07-07,2017-07-26,199
10000241,2018-02-20,2018-03-02,99
10000242,2018-03-17,,0
10000243,2018-03-16,2018-04-09,499
10000244,2016-04-09,,0
10000245,2017-09-04,2017-09-08,299
10000246,2017-12-28,2018-01-20,499
10000247,2016-06-03,2016-06-24,299
10000248,2017-03-25,2017-04-03,499
10000249,2018-02-03,2018-02-16,299
10000250,2017-07-07,2017-07-16,499
10000251,2017-12-09,2017-12-30,499
10000252,2017-09-25,2017-10-06,199
10000253,2018-03-01,,0
10000254,2017-01-06,2017-01-26,299
10000255,2016-12-01,,0
10000256,2016-07-06,2016-07-09,99
10000257,2016-04-28,2016-05-16,99
10000258,2016-09-15,2016-09-28,499
10000259,2017-01-30,2017-02-27,99
10000260,2017-11-07,,0
10000261,2016-10-23,2016-11-14,299
10000262,2016-04-24,,0
10000263,2016-08-30,,0
10000264,2016-09-05,,0
10000265,2018-02-18,,0
10000266,2016-06-30,2016-07-03,99
10000267,2017-12-17,2018-01-01,299
10000268,2016-06-19,2016-06-30,199
10000269,2016-03-26,,0
10000270,2016-06-20,2016-07-01,199
10000271,2016-04-14,2016-04-17,499
10000272,2016-06-14,2016-07-01,299
10000273,2017-11-03,2017-11-18,299
10000274,2018-02-13,2018-03-05,299
10000275,2016-02-26,2016-03-13,299
10000276,2017-06-02,,0
10000277,2017-04-10,2017-04-12,99
10000278,2017-09-03,2017-09-08,299
10000279,2016-04-02,2016-04-10,299
10000280,2016-08-18,,0
10000281,2017-06-04,2017-06-14,299
10000282,2017-06-07,2017-06-21,499
10000283,2017-12-10,2017-12-12,99
10000284,2017-05-13,2017-05-19,99
10000285,2016-05-26,2016-06-03,199
10000286,2017-02-05,2017-02-05,99
10000287,2017-11-12,2017-12-11,299
10000288,2016-09-19,2016-10-12,199
10000289,2017-04-23,,0
10000290,2016-09-01,2016-09-28,299
10000291,2016-08-26,2016-08-28,499
10000292,2016-05-12,2016-05-15,99
10000293,2016-02-10,2016-03-07,199
10000294,2017-05-18,2017-06-08,299
10000295,2016-06-02,,0
10000296,2016-02-04,,0
10000297,2017-05-12,,0
10000298,2016-10-16,,0
10000299,2018-01-21,,0
10000300,2018-03-15,2018-03-22,499
10000301,2016-11-13,,0
10000302,2016-03-02,2016-03-23,499
10000303,2017-12-19,2018-01-01,99
10000304,2017-07-05,,0
10000305,2018-01-16,2018-01-20,99
10000306,2017-10-12,2017-10-14,499
10000307,2016-06-03,2016-06-23,199
10000308,2018-02-19,,0
10000309,2016-06-09,2016-06-13,499
10000310,2018-02-15,2018-03-04,99
10000311,2017-06-30,2017-07-09,99
10000312,2017-05-25,2017-06-10,499
10000313,2018-02-01,2018-03-01,499
10000314,2018-03-15,2018-03-31,199
10000315,2017-07-26,,0
10000316,2016-04-17,2016-04-21,299
10000317,2016-08-01,,0
10000318,2017-01-31,2017-02-28,499
10000319,2016-11-18,2016-11-22,299
10000320,2018-01-14,,0
10000321,2017-02-23,,0
10000322,2016-07-06,2016-07-15,299
10000323,2016-05-10,,0
10000324,2017-10-26,2017-10-31,299
10000325,2016-05-20,2016-05-22,299
10000326,2017-12-10,,0
10000327,2017-11-03,2017-11-12,99
10000328,2016-10-27,,0
10000329,2016-06-17,2016-07-10,99
10000330,2017-12-19,2018-01-14,199
10000331,2016-04-04,,0
10000332,2017-11-04,2017-11-05,99
10000333,2017-06-21,2017-06-22,199
10000334,2017-12-31,2018-01-26,199
10000335,2017-01-15,,0
10000336,2016-06-26,,0
10000337,2016-12-31,2017-01-09,299
10000338,2017-07-16,2017-08-01,499
10000339,2017-08-07,,0
10000340,2017-03-13,2017-03-24,499
10000341,2017-01-09,2017-01-17,199
10000342,2017-11-13,,0
10000343,2017-07-05,2017-07-23,99
10000344,2017-09-13,,0
10000345,2017-11-21,2017-12-18,199
10000346,2018-01-05,2018-01-28,499
10000347,2018-03-12,2018-03-27,99
10000348,2016-06-15,2016-06-24,499
10000349,2016-03-10,2016-03-30,299
10000350,2016-12-16,,0
10000351,2016-11-13,2016-12-05,99
10000352,2017-05-08,2017-06-03,499
10000353,2017-11-23,2017-11-27,99
10000354,2017-01-17,2017-01-19,199
10000355,2016-02-05,2016-03-02,499
10000356,2016-09-23,,0
10000357,2016-09-23,2016-10-02,199
10000358,2017-06-15,,0
10000359,2016-05-15,,0
10000360,2016-08-25,,0
10000361,2016-09-26,,0
10000362,2016-03-23,2016-04-11,199
10000363,2016-05-18,,0
10000364,2017-01-22,2017-02-19,199
10000365,2016-03-04,2016-03-17,299
10000366,2016-02-22,2016-03-17,499
10000367,2016-12-03,,0
10000368,2016-02-11,,0
10000369,2017-10-31,,0
10000370,2017-04-17,2017-04-21,199
10000371,2017-08-15,2017-09-02,499
10000372,2016-08-16,,0
10000373,2017-07-13,,0
10000374,2016-03-15,2016-04-03,199
10000375,2016-08-03,,0
10000376,2017-02-23,2017-03-15,299
10000377,2017-08-04,,0
10000378,2017-06-21,2017-07-07,99
10000379,2017-04-17,,0
10000380,2017-06-10,,0
10000381,2017-06-19,2017-06-30,99
10000382,2016-06-16,2016-06-28,499
10000383,2016-11-05,,0
10000384,2016-07-13,2016-08-05,99
10000385,2017-07-27,2017-08-11,299
10000386,2016-02-23,2016-03-04,99
10000387,2018-01-11,2018-02-09,499
10000388,2017-06-21,2017-07-08,499
10000389,2017-12-17,2018-01-13,99
10000390,2017-06-24,2017-07-04,199
10000391,2017-08-23,2017-09-06,299
10000392,2018-01-08,,0
10000393,2017-09-22,2017-10-21,499
10000394,2017-04-19,,0
10000395,2016-06-21,2016-07-08,299
10000396,2016-11-07,2016-11-12,99
10000397,2016-08-25,2016-09-09,499
10000398,2017-12-15,2018-01-09,499
10000399,2016-11-28,,0
10000400,2017-03-03,,0
10000401,2016-12-14,2017-01-01,299
10000402,2016-03-19,2016-04-03,499
10000403,2017-12-04,,0
10000404,2017-12-08,,0
10000405,2017-02-24,,0
10000406,2017-02-13,,0
10000407,2016-09-04,2016-09-30,499
10000408,2017-10-21,2017-11-05,299
10000409,2016-10-08,2016-11-03,299
10000410,2017-04-09,2017-04-21,299
10000411,2018-02-25,,0
10000412,2018-02-28,2018-03-11,299
10000413,2017-09-07,2017-09-07,299
10000414,2016-11-10,,0
10000415,2017-05-28,2017-06-07,99
10000416,2018-01-07,2018-01-12,199
10000417,2016-10-24,2016-10-26,199
10000418,2017-09-21,2017-10-08,499
10000419,2016-10-03,2016-10-26,499
10000420,2016-07-07,,0
10000421,2017-01-22,,0
10000422,2017-08-01,2017-08-13,199
10000423,2016-09-23,2016-10-11,99
10000424,2018-03-01,,0
10000425,2017-05-05,2017-06-03,299
10000426,2016-05-10,2016-05-30,499
10000427,2018-02-08,,0
10000428,2016-05-29,,0
10000429,2017-01-19,2017-02-10,499
10000430,2018-01-08,2018-01-17,299
10000431,2016-04-28,2016-05-17,499
10000432,2016-03-07,2016-03-16,199
10000433,2016-12-10,2016-12-23,199
10000434,2017-07-24,2017-08-14,99
10000435,2017-08-04,2017-08-07,199
10000436,2016-12-18,,0
10000437,2017-04-02,2017-04-13,99
10000438,2017-07-01,2017-07-31,499
10000439,2017-11-14,,0
10000440,2018-02-09,2018-02-12,499
10000441,2016-02-09,2016-03-06,99
10000442,2017-01-24,,0
10000443,2017-05-23,,0
10000444,2016-03-28,,0
10000445,2016-11-09,2016-11-20,99
10000446,2017-04-20,2017-05-17,499
10000447,2017-05-06,2017-05-13,299
10000448,2017-06-04,,0
10000449,2017-01-24,2017-02-09,99
10000450,2017-12-21,2018-01-03,499
10000451,2017-09-16,2017-09-30,499
10000452,2017-09-19,2017-09-27,99
10000453,2016-04-05,,0
10000454,2017-04-04,,0
10000455,2017-05-02,2017-05-25,99
10000456,2016-06-15,,0
10000457,2018-03-03,2018-03-14,499
10000458,2017-09-28,,0
10000459,2016-03-19,,0
10000460,2017-10-04,,0
10000461,2016-08-12,2016-09-02,299
10000462,2016-05-27,2016-06-14,99
10000463,2016-07-13,2016-07-21,199
10000464,2017-05-24,2017-06-05,99
10000465,2016-11-13,,0
10000466,2017-07-20,2017-08-06,499
10000467,2017-06-08,2017-06-27,99
10000468,2017-03-11,2017-03-30,299
10000469,2016-05-06,2016-06-01,299
10000470,2017-06-11,2017-06-12,199
10000471,2016-10-11,,0
10000472,2017-03-20,2017-04-19,299
10000473,2017-10-25,2017-11-03,99
10000474,2017-09-06,,0
10000475,2017-02-05,2017-02-13,199
10000476,2017-08-29,,0
10000477,2016-09-30,,0
10000478,2017-10-31,,0
10000479,2017-02-07,2017-02-22,299
10000480,2016-03-10,2016-04-02,499
10000481,2017-01-18,,0
10000482,2017-04-01,,0
10000483,2016-04-17,2016-05-04,299
10000484,2017-06-24,2017-07-15,199
10000485,2017-07-01,,0
10000486,2016-06-19,2016-06-22,199
10000487,2016-10-09,,0
10000488,2017-11-30,2017-12-17,199
10000489,2018-03-12,,0
10000490,2016-12-13,2016-12-22,499
10000491,2017-03-26,2017-04-01,299
10000492,2018-02-18,2018-03-05,99
10000493,2016-04-15,2016-04-28,499
10000494,2016-02-29,,0
10000495,2016-03-12,2016-04-09,99
10000496,2017-07-25,2017-08-19,499
10000497,2017-06-06,2017-06-23,99
10000498,2016-05-10,2016-06-07,199
10000499,2016-12-16,2016-12-29,199
10000500,2017-08-23,2017-09-06,499
10000501,2018-01-23,2018-01-26,99
10000502,2017-11-11,2017-12-04,499
10000503,2017-07-07,,0
10000504,2016-08-07,2016-08-31,99
10000505,2017-04-25,2017-05-09,99
10000506,2016-05-04,2016-05-09,299
10000507,2016-07-30,,0
10000508,2016-12-17,2016-12-29,499
10000509,2016-11-09,2016-12-05,299
10000510,2017-02-25,2017-03-24,499
10000511,2016-12-17,2016-12-28,199
10000512,2017-08-23,2017-08-25,199
10000513,2016-02-25,,0
10000514,2016-10-17,2016-11-11,499
10000515,2017-06-11,,0
10000516,2016-08-31,,0
10000517,2016-05-25,2016-06-18,199
10000518,2017-04-27,,0
10000519,2017-12-31,2018-01-20,99
10000520,2018-03-13,2018-04-09,99
10000521,2017-11-09,2017-11-14,99
10000522,2017-06-04,2017-07-03,499
10000523,2017-09-24,2017-10-03,99
10000524,2018-02-02,2018-02-23,99
10000525,2017-07-12,2017-07-16,499
10000526,2017-11-20,2017-12-10,299
10000527,2017-02-19,2017-03-16,299
10000528,2017-10-05,2017-10-23,199
10000529,2017-03-24,,0
10000530,2016-09-06,,0
10000531,2017-08-10,,0
10000532,2016-04-03,,0
10000533,2017-01-15,2017-01-18,199
10000534,2017-02-24,,0
10000535,2017-02-11,2017-03-06,99
10000536,2016-04-06,2016-04-12,199
10000537,2016-05-29,2016-06-06,199
10000538,2018-02-15,2018-02-20,99
10000539,2016-02-08,,0
10000540,2018-01-07,,0
10000541,2018-02-08,,0
10000542,2016-02-27,2016-03-19,99
10000543,2016-11-16,2016-11-30,99
10000544,2016-02-28,2016-03-04,299
10000545,2016-07-08,2016-08-07,99
10000546,2016-06-24,2016-07-22,499
10000547,2017-05-12,,0
10000548,2018-02-15,,0
10000549,2016-05-18,,0
10000550,2017-04-14,2017-04-18,299
10000551,2016-08-21,2016-09-14,499
10000552,2016-11-27,2016-11-28,499
10000553,2017-04-13,2017-04-15,99
10000554,2016-02-11,2016-02-29,199
10000555,2017-09-29,2017-10-12,199
10000556,2017-11-03,,0
10000557,2016-05-13,,0
10000558,2017-05-31,2017-06-16,499
10000559,2016-05-20,,0
10000560,2017-11-04,,0
10000561,2018-01-03,2018-01-19,299
10000562,2016-05-03,,0
10000563,2018-01-18,2018-02-03,299
10000564,2017-07-25,2017-08-02,499
10000565,2017-12-30,2018-01-08,99
10000566,2017-06-21,2017-06-24,99
10000567,2016-07-26,,0
10000568,2017-04-14,,0
10000569,2017-11-29,2017-12-03,199
10000570,2018-02-27,2018-03-13,499
10000571,2018-01-11,2018-02-04,199
10000572,2017-06-25,2017-07-19,99
10000573,2016-05-19,2016-06-17,99
10000574,2016-04-12,,0
10000575,2017-06-03,2017-06-03,499
10000576,2018-02-02,2018-02-25,499
10000577,2016-11-07,,0
10000578,2016-09-01,,0
10000579,2017-05-02,,0
10000580,2017-09-09,,0
10000581,2017-03-24,2017-04-21,99
10000582,2018-02-23,2018-03-14,99
10000583,2017-06-24,,0
10000584,2017-11-23,2017-12-06,199
10000585,2016-12-19,,0
10000586,2016-07-27,2016-08-12,99
10000587,2017-12-19,,0
10000588,2016-05-14,2016-06-13,199
10000589,2016-05-29,,0
10000590,2018-01-12,2018-01-28,299
10000591,2017-09-04,2017-09-29,299
10000592,2016-03-28,,0
10000593,2017-03-15,2017-03-18,299
10000594,2017-08-31,,0
10000595,2016-03-29,2016-04-13,99
10000596,2016-05-27,,0
10000597,2017-03-31,2017-04-12,199
10000598,2016-02-21,,0
10000599,2016-04-19,,0
10000600,2017-08-12,2017-08-22,299
10000601,2017-12-14,,0
10000602,2017-09-18,,0
10000603,2016-05-18,2016-05-26,199
10000604,2016-10-28,2016-11-21,199
10000605,2017-12-19,,0
10000606,2017-05-21,,0
10000607,2016-04-10,2016-05-02,499
10000608,2017-02-21,2017-02-22,299
10000609,2016-07-15,2016-07-28,499
10000610,2016-03-29,2016-04-05,99
10000611,2017-04-26,2017-05-11,499
10000612,2016-10-02,2016-10-10,499
10000613,2016-03-16,,0
10000614,2017-12-15,2017-12-27,199
10000615,2018-03-17,2018-04-08,99
10000616,2017-02-17,2017-03-06,499
10000617,2017-08-31,,0
10000618,2018-01-01,2018-01-22,99
10000619,2016-04-11,2016-04-15,99
10000620,2017-08-01,2017-08-21,199
10000621,2016-09-26,2016-10-18,299
10000622,2017-09-02,2017-10-01,299
10000623,2016-05-18,,0
10000624,2016-08-26,2016-08-29,199
10000625,2018-01-22,,0
10000626,2016-11-28,2016-12-03,199
10000627,2017-04-05,2017-05-01,199
10000628,2017-01-13,2017-01-22,99
10000629,2016-05-17,,0
10000630,2017-07-12,2017-07-16,299
10000631,2018-02-20,,0
10000632,2017-03-12,2017-03-16,499
10000633,2018-02-03,,0
10000634,2016-10-13,,0
10000635,2016-11-27,2016-11-27,99
10000636,2016-06-24,,0
10000637,2017-12-07,2017-12-08,499
10000638,2017-07-08,2017-07-15,99
10000639,2017-08-15,2017-09-14,199
10000640,2017-01-25,2017-02-08,299
10000641,2017-07-08,2017-07-18,499
10000642,2017-05-29,2017-06-24,299
10000643,2016-08-08,2016-08-24,499
10000644,2016-11-22,2016-12-20,299
10000645,2016-05-03,2016-06-02,99
10000646,2016-06-09,2016-06-23,99
10000647,2017-05-29,,0
10000648,2017-03-15,,0
10000649,2017-01-06,,0
10000650,2016-09-01,2016-09-04,299
10000651,2016-12-26,2017-01-05,199
10000652,2016-07-24,2016-07-30,199
10000653,2017-04-19,2017-05-03,199
10000654,2016-08-19,,0
10000655,2017-10-09,,0
10000656,2018-02-12,2018-03-04,299
10000657,2016-05-08,2016-05-24,199
10000658,2016-05-13,,0
10000659,2017-08-06,,0
10000660,2016-06-30,2016-07-17,199
10000661,2016-10-25,2016-10-30,499
10000662,2017-01-17,2017-02-14,199
10000663,2017-05-12,2017-05-30,199
10000664,2016-11-04,,0
10000665,2017-08-21,2017-09-06,499
10000666,2016-02-16,2016-03-15,299
10000667,2017-05-01,2017-05-20,99
10000668,2018-02-03,2018-02-16,299
10000669,2016-07-28,2016-08-15,499
10000670,2016-06-13,2016-07-11,299
10000671,2016-10-15,2016-10-26,199
10000672,2016-04-02,,0
10000673,2017-05-27,2017-06-01,499
10000674,2017-05-22,2017-05-30,199
10000675,2017-10-27,2017-11-05,499
10000676,2016-03-13,2016-04-06,199
10000677,2017-02-07,2017-02-27,499
10000678,2017-02-07,2017-02-23,99
10000679,2016-11-25,2016-12-01,199
10000680,2016-03-23,2016-04-17,199
10000681,2017-02-13,,0
10000682,2016-12-08,,0
10000683,2017-09-01,2017-09-09,499
10000684,2016-03-30,,0
10000685,2016-11-30,,0
10000686,2016-03-06,,0
10000687,2017-11-09,2017-11-09,199
10000688,2017-09-10,2017-09-19,199
10000689,2018-02-23,2018-03-04,499
10000690,2017-06-07,2017-06-13,99
10000691,2017-06-05,,0
10000692,2016-09-08,2016-10-01,299
10000693,2017-09-19,2017-09-28,499
10000694,2016-06-02,2016-06-17,499
10000695,2018-01-07,2018-01-07,299
10000696,2016-05-12,2016-05-22,99
10000697,2017-06-29,,0
10000698,2016-12-09,,0
10000699,2017-06-20,2017-07-08,199
10000700,2017-06-08,2017-06-10,299
10000701,2018-02-28,2018-03-27,199
10000702,2017-11-21,2017-11-30,299
10000703,2016-08-17,2016-08-26,99
10000704,2017-10-25,2017-11-09,499
10000705,2017-12-12,2017-12-12,199
10000706,2017-06-27,2017-07-14,499
10000707,2016-12-26,2016-12-30,99
10000708,2017-10-13,,0
10000709,2016-12-23,,0
10000710,2016-02-10,2016-02-13,299
10000711,2016-06-06,2016-06-25,299
10000712,2017-11-30,,0
10000713,2016-09-18,,0
10000714,2016-02-15,2016-03-04,299
10000715,2017-06-01,,0
10000716,2017-04-17,2017-05-06,99
10000717,2017-08-11,,0
10000718,2016-10-31,,0
10000719,2017-10-10,,0
10000720,2016-02-03,,0
10000721,2016-12-22,2017-01-15,99
10000722,2016-10-10,2016-11-02,499
10000723,2017-07-18,2017-08-04,499
10000724,2016-03-26,2016-04-19,199
10000725,2017-04-23,,0
10000726,2016-11-23,,0
10000727,2017-10-14,,0
10000728,2017-02-07,2017-03-02,499
10000729,2018-02-04,,0
10000730,2017-05-14,2017-06-06,199
10000731,2018-03-01,2018-03-06,299
10000732,2016-06-15,2016-07-06,99
10000733,2016-10-03,2016-10-27,499
10000734,2016-04-10,,0
10000735,2017-05-26,2017-06-11,99
10000736,2017-07-14,2017-07-18,99
10000737,2017-06-04,,0
10000738,2017-06-17,2017-07-12,99
10000739,2017-12-29,2018-01-17,199
10000740,2016-05-27,2016-06-14,99
10000741,2016-10-14,2016-11-13,299
10000742,2017-09-29,2017-10-06,299
10000743,2017-04-03,,0
10000744,2016-05-25,,0
10000745,2017-06-08,2017-06-20,499
10000746,2016-04-02,2016-04-05,199
10000747,2017-06-11,,0
10000748,2017-10-28,,0
10000749,2016-04-20,,0
10000750,2017-11-20,,0
10000751,2017-05-30,,0
10000752,2016-02-22,,0
10000753,2017-09-17,,0
10000754,2016-12-20,2016-12-23,299
10000755,2017-07-01,2017-07-21,199
10000756,2016-10-18,,0
10000757,2016-06-08,2016-07-08,499
10000758,2017-10-18,2017-11-11,499
10000759,2016-11-10,,0
10000760,2016-03-18,2016-04-16,199
10000761,2016-08-06,2016-08-30,299
10000762,2016-02-19,2016-03-10,299
10000763,2017-09-21,2017-10-19,199
10000764,2017-11-15,,0
10000765,2018-03-04,,0
10000766,2016-02-08,,0
10000767,2016-03-08,2016-04-06,499
10000768,2017-09-20,2017-10-03,499
10000769,2016-04-12,2016-04-29,199
10000770,2017-02-15,2017-03-06,99
10000771,2016-10-23,,0
10000772,2016-04-07,2016-04-19,99
10000773,2017-11-14,2017-12-10,299
10000774,2016-04-04,2016-04-17,199
10000775,2016-03-01,2016-03-18,499
10000776,2017-08-10,,0
10000777,2017-11-07,2017-11-29,299
10000778,2016-02-16,2016-02-16,299
10000779,2016-11-04,2016-11-19,499
